biomarker_id,biomarker_name,mean_wasserstein_rank,min_wasserstein_rank,median_wasserstein_rank,valid_rank_bin_count,wasserstein_rank_by_age_bin,trim_mode,trim_label,trim_rule
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",18.89497302637767,9.134884806509536,21.937969305227277,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 21.937969305227277}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 24.218342475797993}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 23.65377826789794}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 22.91990820694566}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 18.016127424227008}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 12.383800698038272}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 9.134884806509536}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin ocdd lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) Lipid Adjusted (pg/g)",21.333796041131055,12.227587180573206,23.33716344093954,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 23.33716344093954}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 26.1139611203265}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 25.995305291132723}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 25.624616571418137}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 20.71457251884251}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 15.323366164684751}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 12.227587180573206}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) (fg/g)",8.668637016292353,1.3380949641513094,9.585224355116942,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 14.863326091724817}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 11.736297832609363}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 4.278970300357823}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 1.3380949641513094}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 1.6991335530798946}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 9.585224355116942}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 17.179412017006314}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) (fg/g)",8.826544603770008,1.455035613731404,9.559685633400882,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 15.068148563927831}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 12.14983501796007}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 4.420089084193501}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 1.455035613731404}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 1.9239851080682584}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 9.559685633400882}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 17.20903320510812}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) (fg/g)",8.98274379236983,1.5138310702932105,9.819390954921705,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 15.214530489554164}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 12.394147699044622}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 4.48769783282984}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 1.5138310702932105}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 2.0479055034828098}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 9.819390954921705}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 17.40170299646247}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) (fg/g)",9.225470358331274,1.7557681439535229,9.487633264131265,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 15.478873368844908}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 13.041458852357248}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 4.799987422302976}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 1.7557681439535229}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 2.252313737037985}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 9.487633264131265}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 17.76225771969101}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) Lipid Adjusted (pg/g)",8.765795695371402,1.8876587756241292,9.365663417495057,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 11.688797789838024}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 9.365663417495057}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 1.8876587756241292}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 3.596302475253804}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 4.326601153823621}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 12.21486841577406}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 18.280677839791117}]",all,0% each tail,"{'lo': 0.0, 'hi': 1.0}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) Lipid Adjusted (pg/g)",9.093669625025939,2.201965680584848,8.867682281360283,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 11.762731263237752}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 8.867682281360283}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 2.201965680584848}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 3.7299483403094182}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 4.7522567009369965}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 12.816837966863243}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 19.524265141889032}]",trim_3_97,3% each tail,"{'lo': 0.03, 'hi': 0.97}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) Lipid Adjusted (pg/g)",9.29634955456128,2.3840379539081247,9.91995478536732,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 11.936829919088881}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 9.91995478536732}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 2.3840379539081247}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 4.331188874629376}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 4.785549887967261}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 13.540534577181589}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 18.176350883786412}]",trim_5_95,5% each tail,"{'lo': 0.05, 'hi': 0.95}"
1 2 3 4 6 7 8 9-octachlorodibenzofuran ocdf lipid adjusted,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) Lipid Adjusted (pg/g)",9.642123531765098,3.111615167066042,10.858573807953904,7,"[{'age_bin': '20-24', 'age_mid': 22.5, 'wasserstein_rank': None}, {'age_bin': '25-29', 'age_mid': 27.5, 'wasserstein_rank': None}, {'age_bin': '30-34', 'age_mid': 32.5, 'wasserstein_rank': None}, {'age_bin': '35-39', 'age_mid': 37.5, 'wasserstein_rank': None}, {'age_bin': '40-44', 'age_mid': 42.5, 'wasserstein_rank': None}, {'age_bin': '45-49', 'age_mid': 47.5, 'wasserstein_rank': None}, {'age_bin': '50-54', 'age_mid': 52.5, 'wasserstein_rank': 11.710760397931784}, {'age_bin': '55-59', 'age_mid': 57.5, 'wasserstein_rank': 10.858573807953904}, {'age_bin': '60-64', 'age_mid': 62.5, 'wasserstein_rank': 3.111615167066042}, {'age_bin': '65-69', 'age_mid': 67.5, 'wasserstein_rank': 4.836610886937258}, {'age_bin': '70-74', 'age_mid': 72.5, 'wasserstein_rank': 4.7696009376401465}, {'age_bin': '75-79', 'age_mid': 77.5, 'wasserstein_rank': 14.010944685755131}, {'age_bin': '80-84', 'age_mid': 82.5, 'wasserstein_rank': 18.196758839071418}]",trim_10_90,10% each tail,"{'lo': 0.1, 'hi': 0.9}"
