Test Name (Clalit),Test Name (NHANES),Clalit ID,NHANES ID,In Clalit,In NHANES,Mapping Status
Chloride,Chloride (mmol/L),lab.25403.no_meds,chloride,V,V,Mapped (Existing)
Creatinine (blood),Creatinine (mg/dL),lab.20300.no_meds,creatinine__mg/dl,V,V,Auto-Mapped
Creatinine (urine),,lab.41500.no_meds,,V,,Unmapped
Microalbumin/Creatinine ,,lab.35000.no_meds,,V,,Unmapped
Magnesium,,lab.24500.no_meds,,V,,Unmapped
Microalbumin urine 24h,,lab.46700.no_meds,,V,,Unmapped
Sodium,Sodium (mmol/L),lab.25401.no_meds,sodium,V,V,Mapped (Existing)
Urine pH,,lab.9911.no_meds,,V,,Unmapped
Specific gravity,,lab.9904.no_meds,,V,,Unmapped
Uric acid,Uric acid (mg/dL),lab.20400.no_meds,uric acid__mg/dl,V,V,Auto-Mapped
Potassium Blood,Potassium (mmol/L),lab.20600.no_meds,potassium,V,V,Auto-Mapped
Leucocytes (urine strip),,lab.9907.no_meds,,V,,Unmapped
Erythrocytes (urine strip),,lab.9909.no_meds,,V,,Unmapped
RBC,"Folate, RBC (ng/mL RBC)",lab.102.no_meds,folate rbc__ng/mlrbc,V,V,Auto-Mapped
Hemoglobin,Hemoglobin (g/dL),lab.103.no_meds,hemoglobin,V,V,Mapped (Existing)
Hematocrit,Hematocrit (%),lab.104.no_meds,hematocrit,V,V,Mapped (Existing)
Hct/Hgb,,lab.150.no_meds,,V,,Unmapped
CH,,lab.166.no_meds,,V,,Unmapped
HDW,,lab.117.no_meds,,V,,Unmapped
MCH,,lab.107.no_meds,,V,,Unmapped
MCHC,,lab.108.no_meds,,V,,Unmapped
MCV,,lab.106.no_meds,,V,,Unmapped
RDW,,lab.109.no_meds,,V,,Unmapped
RDW,,lab.152.no_meds,,V,,Unmapped
RDW SD,,lab.151.no_meds,,V,,Unmapped
Macrocytic %,,lab.126.no_meds,,V,,Unmapped
Microcytic %,,lab.127.no_meds,,V,,Unmapped
Hyperchromic %,,lab.128.no_meds,,V,,Unmapped
Hypochromic %,,lab.129.no_meds,,V,,Unmapped
Microcytic/Hypochromic,,lab.172.no_meds,,V,,Unmapped
Ferritin,Ferritin (ng/mL),lab.91200.no_meds,ferritin,V,V,Mapped (Existing)
Iron,Total iron binding capacity (ug/dL),lab.23100.no_meds,total iron binding capacity,V,V,Auto-Mapped
Transferrin,Serum transferrin receptor (mg/l),lab.23200.no_meds,serum transferrin receptor,V,V,Auto-Mapped
Folic acid,Folic acid (nmol/L),lab.31400.no_meds,folic acid,V,V,Mapped (Existing)
Vitamin B12,Vitamin B12 (pg/mL),lab.27100.no_meds,vitamin b12__pg/ml,V,V,Auto-Mapped
